Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other"
2576,4946172,118467.0,1955,1,100,61.9,40.746804,-73.977325,6.0,78.0,4.141546163706395,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11075,5848401,68088.0,1930,1,95,90.0,40.620807,-74.023929,10.0,142.0,4.51085950651685,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8757,3995160,143886.0,1960,1,100,70.5,40.888148,-73.906021,8.0,295.0,4.269697449699962,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11127,2931868,133764.0,1957,1,100,86.7,40.614586,-74.032128,10.0,162.0,4.473921899378137,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12688,3328352,65816.0,1960,1,100,45.8,,,,,3.845883202923601,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8299,3199684,78000.0,1936,1,100,89.8,40.841803,-73.853212,10.0,204.0,4.508659285607248,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13653,4751227,54600.0,2007,1,100,58.0,,,,,4.07753744390572,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
190,4393741,,1987,3,100,218.7,,,,,5.392262979390565,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13625,2812000,78792.0,1989,1,100,81.2,,,,,4.409155302062135,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3202,2679447,249505.0,1929,1,100,69.1,40.780622,-73.981412,7.0,163.0,4.249922794040544,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3802,4730163,532225.0,1993,1,85,162.2,40.762088,-73.971862,5.0,11202.0,5.094976442530006,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2129,3429407,614127.0,1990,1,100,66.6,,,,,4.213607983048918,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8868,3577239,292370.0,1969,1,100,74.4,40.888974,-73.916845,8.0,309.0,4.32280727501391,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
