Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other",score
4789,3110813,64332.0,1916,1,100,82.7,40.777353,-73.958539,8.0,140.0,4.4272389774954295,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4793,2665077,50592.0,1932,1,100,77.9,40.777287,-73.95834,8.0,140.0,4.368181227851829,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4796,2386589,142075.0,1929,1,100,72.8,40.778072,-73.95873,8.0,140.0,4.301358731606427,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4797,2388489,52740.0,1916,1,100,86.7,40.777114,-73.957929,8.0,140.0,4.473921899378137,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4800,3128667,93924.0,1929,1,100,84.5,40.77733,-73.956481,8.0,140.0,4.448516375942715,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4810,2806403,81180.0,1927,1,100,52.5,40.778447,-73.957159,8.0,14801.0,3.979681653901961,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4811,2721973,116824.0,1962,1,100,111.9,40.778055,-73.956224,8.0,14801.0,4.726502471155617,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4812,4408978,65167.0,1924,1,100,80.0,40.7792,-73.957906,8.0,14801.0,4.394449154672439,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4813,4399357,327618.0,1987,1,0,32.7,40.777843,-73.955722,8.0,14801.0,3.517497837358316,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4817,2671335,651162.0,1967,1,100,96.3,40.778619,-73.954148,8.0,14801.0,4.577798989191959,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4819,2657087,75798.0,1930,1,100,102.9,40.779974,-73.957335,8.0,14801.0,4.6434288981051814,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4821,3110747,68542.0,1923,1,100,53.0,40.780393,-73.957028,8.0,14802.0,3.9889840465642745,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4829,2672668,114000.0,1973,1,100,85.0,40.78109,-73.956522,8.0,14802.0,4.454347296253507,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4834,3107160,142368.0,1922,1,100,68.2,40.781332,-73.956345,8.0,14802.0,4.237000862623624,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4842,4845832,75335.0,1929,1,100,88.3,40.78123,-73.955633,8.0,14802.0,4.492001487882454,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4858,2918547,65692.0,1927,1,100,37.2,40.783694,-73.953689,8.0,15801.0,3.6428355156125294,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4862,3522589,51399.0,1989,1,100,104.4,40.784111,-73.952775,8.0,15801.0,4.657762636107262,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4863,2675883,550905.0,1928,1,100,83.5,40.784817,-73.9538,8.0,15801.0,4.436751534363128,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4866,4410462,116270.0,1925,1,100,74.7,40.784248,-73.952103,8.0,15801.0,4.3267781604434035,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4870,2654380,242158.0,1980,1,100,81.2,40.784049,-73.950179,8.0,15801.0,4.409155302062135,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4878,5847725,170000.0,1967,1,95,103.5,40.77408,-73.956794,8.0,138.0,4.6491870714048655,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4887,2652018,189612.0,1963,1,100,117.4,40.775001,-73.95385,8.0,138.0,4.774068722449905,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4895,2805979,54763.0,1880,1,100,54.8,40.778374,-73.952949,8.0,14601.0,4.021773869387265,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4910,2652142,120555.0,1901,1,100,140.0,40.779873,-73.95241,8.0,14602.0,4.948759890378168,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4913,2682374,1968872.0,1974,1,100,61.4,40.781476,-73.952044,8.0,154.0,4.133565275375382,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4914,2680047,693459.0,1975,1,100,78.7,40.781159,-73.949361,8.0,154.0,4.378269585796169,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4924,2656222,431000.0,1963,1,100,94.8,40.772968,-73.954151,8.0,138.0,4.562262684976814,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4925,2679643,92854.0,1956,1,100,87.0,40.773508,-73.953368,8.0,138.0,4.477336814478207,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4933,4909189,267772.0,1967,1,100,33.7,40.775412,-73.951929,8.0,138.0,3.5467396869528134,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4935,4414161,261150.0,1920,1,95,72.0,40.776063,-73.951499,8.0,14601.0,4.290459441148391,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4946,4858524,164384.0,2013,1,100,75.0,40.77981,-73.947247,8.0,154.0,4.330733340286331,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4950,3109172,301851.0,1980,1,100,74.7,40.780718,-73.946585,8.0,154.0,4.3267781604434035,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4951,2711665,224509.0,1987,1,100,92.1,40.781982,-73.94874,8.0,154.0,4.533674184283021,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4954,2787078,56700.0,1997,1,100,97.8,40.782643,-73.947349,8.0,154.0,4.593097604753822,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4961,2715795,184816.0,1960,1,100,78.5,40.772045,-73.951957,8.0,136.0,4.375757021660286,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4969,2738339,198774.0,2005,1,100,109.4,40.77444,-73.949663,8.0,136.0,4.704110133842995,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4970,3114424,302854.0,1996,1,100,102.9,40.775266,-73.950539,8.0,136.0,4.6434288981051814,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4974,4952570,107790.0,1986,1,100,85.1,40.775428,-73.949994,8.0,14401.0,4.455509411433685,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4979,2794189,205967.0,1931,1,100,70.4,40.77644,-73.948358,8.0,14401.0,4.268297869345539,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4982,3111782,112332.0,1929,1,100,79.4,40.776479,-73.948408,8.0,14402.0,4.387014176184921,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4985,2653183,227259.0,1964,1,100,164.3,40.778419,-73.948237,8.0,14402.0,5.107762004826979,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4987,4036617,315710.0,1974,1,100,137.2,40.777331,-73.946111,8.0,14402.0,4.92870191133357,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4989,4389649,391194.0,1971,1,100,49.3,40.778349,-73.945367,8.0,152.0,3.9180050771056933,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4995,4036569,346325.0,1986,1,100,144.7,40.779301,-73.94468,8.0,152.0,4.981549713201159,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4996,4030401,50302.0,1991,1,100,191.6,40.780293,-73.945654,8.0,152.0,5.260615499364025,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5004,2660223,230473.0,1957,1,100,59.0,40.770819,-73.947781,8.0,136.0,4.0943445622221,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5006,4036620,281902.0,1972,1,100,115.4,40.772362,-73.949715,8.0,136.0,4.757032535297338,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5014,4952573,345242.0,1973,1,100,99.6,40.772501,-73.946559,8.0,136.0,4.611152257665639,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5016,3107151,182000.0,1958,1,100,85.3,40.773093,-73.946129,8.0,136.0,4.457829598089382,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5017,3540314,127680.0,1999,1,100,97.2,40.773401,-73.945901,8.0,136.0,4.58700621536042,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5021,4036539,242032.0,1968,1,100,145.5,40.774766,-73.947958,8.0,14401.0,4.987025428457122,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
