Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other",score
1,13286,289356.0,1963,2,100,305.6,40.750791,-73.973963,6.0,88.0,5.725543966437714,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
3,4778226,152765.0,1924,1,100,,40.840427,-73.940249,12.0,251.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4,4778267,891040.0,1971,1,100,,40.840746,-73.942854,12.0,255.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5,4778288,211400.0,1932,1,100,,40.841559,-73.942528,12.0,255.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
7,4778352,245000.0,1932,1,60,,40.765949,-73.953752,8.0,124.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
10,2610789,3750565.0,1974,4,100,143974.4,40.757859,-73.715543,13.0,155101.0,11.87739773063113,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
11,2611745,3750565.0,1974,1,100,1138.3,40.757859,-73.715543,13.0,155101.0,7.03816931770407,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
12,3616379,3750565.0,1974,1,100,,40.757859,-73.715543,13.0,155101.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
13,5870374,3750565.0,1974,1,100,,40.757859,-73.715543,13.0,155101.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
14,5870375,3750565.0,1974,1,100,,40.757859,-73.715543,13.0,155101.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
18,5245390,567517.0,1950,1,100,,40.583953,-74.08693,2.0,70.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
19,4045810,53917.0,1950,1,100,,40.586868,-74.086592,2.0,70.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
20,2777309,,1907,7,100,120.0,,,,,4.795790545596741,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
27,2809896,,1964,2,100,115.9,,,,,4.761318868478023,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
28,4954491,256528.0,1964,1,100,0.0,40.816968,-73.960754,9.0,211.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
29,4954504,339104.0,1964,1,100,0.0,40.817221,-73.960776,9.0,211.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
30,2825730,54725.0,1971,2,100,26.9,40.729201,-73.994155,2.0,57.0,3.32862668882732,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
31,5101913,61582.0,1971,0,100,,40.728924,-73.993834,2.0,57.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
32,2831114,750000.0,1962,6,100,,40.821523,-73.90549,3.0,133.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
38,3612678,,1897,56,100,175.9,,,,,5.17558460116574,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
40,2977441,,1906,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
47,2658264,,1999,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
48,2658465,,1934,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
50,2746906,,1924,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
51,2746908,,1907,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
52,2746913,,1924,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
53,2747205,,1925,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
54,2747207,,1925,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
55,2747212,,1924,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
60,3114642,710600.0,1950,1,100,,40.80709,-73.960847,9.0,20101.0,,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
61,3114648,710600.0,1950,1,100,,40.80709,-73.960847,9.0,20101.0,,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
64,2658274,1368870.0,1977,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
66,2658588,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
67,2746865,1368870.0,1897,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
68,2746866,1368870.0,1987,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
69,2746873,1368870.0,1924,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
70,2746880,1368870.0,1911,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
71,2747235,1368870.0,1910,1,100,0.0,40.809752,-73.960217,9.0,203.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
72,2747246,1368870.0,1927,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
73,2780688,1368870.0,1974,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
74,2780700,1368870.0,1987,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
75,2780703,1368870.0,1897,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
76,2780705,1368870.0,1964,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
77,2780706,1368870.0,1897,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
78,2780707,1368870.0,1930,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
79,2780711,1368870.0,1964,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
80,3105049,1368870.0,1950,1,100,0.3,40.809752,-73.960217,9.0,203.0,0.262364264467491,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
81,3114643,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
82,3114644,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
83,3114645,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
84,3114650,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
85,3114653,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
86,3114654,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
87,3114655,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
88,3114656,1368870.0,1950,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
89,3118978,1368870.0,2010,1,100,,40.809752,-73.960217,9.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
95,3614737,,1914,12,100,111.5,,,,,4.722953221644475,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
97,2741317,,1998,1,100,408.9,,,,,6.015913227510292,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
98,2367857,,1995,1,100,545.0,,,,,6.302618975744905,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
99,2263463,3693539.0,1929,1,100,430.8,40.841402,-73.942568,12.0,251.0,6.067962518080707,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
107,3614751,,1905,4,100,92.4,,,,,4.536891345234797,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
109,2266206,125840.0,1905,1,100,62.2,40.711835,-74.006558,1.0,1501.0,4.146304301152812,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
110,1819903,526781.0,1964,1,100,121.7,40.711437,-74.006146,1.0,1501.0,4.809742351716865,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
111,3615313,,1940,8,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
112,2382101,239235.0,2009,1,100,250.1,40.764843,-73.961243,8.0,118.0,5.5258512661635395,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
114,1230818,228637.0,1987,1,100,399.3,40.763695,-73.958053,8.0,116.0,5.992214265998528,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
115,1230813,731550.0,2006,1,100,475.5,40.765039,-73.957363,8.0,116.0,6.166467723094256,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
116,3616399,,1833,77,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
122,2825672,305900.0,1992,1,100,,40.729341,-73.996157,2.0,5501.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
123,2826071,305900.0,1896,1,100,19.6,40.729341,-73.996157,2.0,5501.0,3.0252910757955354,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
124,2826167,305900.0,1972,1,100,,40.729341,-73.996157,2.0,5501.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
125,2710354,470400.0,1972,1,100,0.0,40.729451,-73.997756,2.0,5501.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
126,2826188,119170.0,1966,1,100,9915.6,40.728347,-73.995898,2.0,5501.0,9.201965399593993,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
127,2825722,232930.0,2001,1,100,30.6,40.729409,-73.997817,2.0,65.0,3.4531571205928664,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
128,3508788,91104.0,2012,1,100,1.1,40.73023,-73.997972,2.0,65.0,0.7419373447293773,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
130,2704422,202521.0,1951,1,100,0.0,40.73098,-73.999495,2.0,65.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
131,2825703,122500.0,1895,1,100,52.9,40.730625,-73.998784,2.0,65.0,3.9871304779149512,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
132,2704501,141811.0,2001,1,100,10.1,40.729912,-73.999044,2.0,65.0,2.4069451083182885,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
134,2704702,69800.0,1893,1,100,56.5,40.729827,-73.995429,2.0,59.0,4.051784947803305,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
135,2825503,125450.0,1929,1,100,3.9,40.729245,-73.995919,2.0,59.0,1.589235205116581,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
136,2866471,100628.0,1894,1,100,29.9,40.729456,-73.994667,2.0,59.0,3.4307561839036995,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
137,2709676,56684.0,1891,1,100,35.0,40.728978,-73.995378,2.0,59.0,3.58351893845611,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
138,2826111,180000.0,1895,1,100,11.7,40.730546,-73.995237,2.0,59.0,2.5416019934645457,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
139,2826196,53482.0,1906,1,100,0.0,40.730398,-73.994938,2.0,59.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
140,2710436,91402.0,1901,1,100,0.0,40.72984,-73.995418,2.0,59.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
141,3107613,,2011,1,100,4.8,,,,,1.7578579175523736,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
142,2709799,366268.0,1896,1,100,1.5,40.729099,-73.993682,2.0,57.0,0.9162907318741551,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
143,2709808,366268.0,1896,1,100,19.4,40.729099,-73.993682,2.0,57.0,3.0155349008501706,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
145,2706453,55224.0,1896,1,100,78.5,40.731265,-73.99506,2.0,59.0,4.375757021660286,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
147,2709720,110447.0,1928,1,100,16.0,40.73127,-73.999423,2.0,65.0,2.833213344056216,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
163,3618216,,1964,2,100,10.7,,,,,2.4595888418037104,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
153,3617949,,1848,3,100,97.7,,,,,4.592084946439436,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
155,3054414,237021.0,1848,1,100,114.9,40.912828,-73.902506,8.0,319.0,4.752727750345706,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
156,3054433,,1956,1,100,80.0,,,,,4.394449154672439,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
157,3618185,,1925,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
159,3618215,,1909,3,100,38.2,,,,,3.6686767467964168,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
166,3618219,,1910,3,100,3.8,,,,,1.5686159179138452,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
178,4037976,,2009,2,100,13.7,,,,,2.6878474937846906,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
179,5100178,55884.0,2009,1,100,,40.681258,-73.965143,8.0,203.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
180,5894105,,2009,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
181,4046078,357000.0,2000,2,100,175.2,40.694476,-73.98718,2.0,11.0,5.171619713502079,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
182,5101855,63000.0,1930,0,10,992.6,40.694685,-73.987166,2.0,11.0,6.9013347111792145,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
183,4092487,540388.0,1987,4,95,145.2,40.869429,-73.825737,10.0,46201.0,4.9849755473156785,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
184,5070492,,2013,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
186,5070501,540388.0,2004,0,90,70.8,40.869429,-73.825737,10.0,46201.0,4.273884476054178,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
341,4929379,,2006,1,100,98.6,,,,,4.601162164590552,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
201,4406828,,1970,2,100,122.0,,,,,4.812184355372417,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
202,5877242,114400.0,1970,1,80,,40.609977,-73.92222,18.0,698.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
203,5877237,2548000.0,1970,1,80,,40.610962,-73.920699,18.0,698.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
205,4442584,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
206,4442600,749142.0,1953,1,100,65.9,,,,,4.203198967134183,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
208,4442622,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
212,4442671,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
213,4442679,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
214,4442683,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
215,4442689,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
216,4442692,749142.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
218,4442267,363265.0,1953,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
220,4442334,363265.0,1953,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
222,4442348,363265.0,1953,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
223,4442358,363265.0,1953,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
224,4442366,363265.0,1953,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
233,4442427,789880.0,1955,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
235,4442469,789880.0,1955,1,100,69.0,,,,,4.248495242049359,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
237,4442517,789880.0,1955,1,100,71.2,,,,,4.279440045898781,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
242,4442774,394644.0,1954,1,100,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
248,4455736,316000.0,1953,1,100,,40.660488,-73.933165,9.0,880.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
249,4455738,316000.0,1953,1,100,,40.660488,-73.933165,9.0,880.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
250,4455741,316000.0,1953,1,100,,40.660488,-73.933165,9.0,880.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
256,4495788,,2014,3,80,102.4,,,,,4.638604962074329,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
257,5060127,,2014,1,80,5.4,,,,,1.8562979903656263,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
258,5060124,419742.0,2014,1,80,,40.866288,-73.830604,10.0,46201.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
259,5060126,363140.0,2014,1,80,,40.866412,-73.830658,10.0,46201.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
261,4517388,175941.0,1952,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
263,4868217,,1930,2,100,55.6,,,,,4.036008985209137,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
264,3942618,,1930,1,100,177.2,,,,,5.182906515036709,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
265,3942586,275312.0,1930,1,100,,40.783013,-73.953007,8.0,15801.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
299,4956972,,1906,2,100,150.4,,,,,5.019925341003349,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
277,4917990,127143.0,1900,2,0,8.5,40.728775,-73.993931,2.0,57.0,2.2512917986064953,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
278,5101865,127143.0,1914,0,0,,40.728775,-73.993931,2.0,57.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
282,4920190,125240.0,1994,2,75,50.7,40.623068,-74.149304,1.0,30301.0,3.9454577815143836,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
288,4926122,,1940,2,100,291.2,,,,,5.677438499316599,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
289,4929323,183626.0,1940,1,100,,40.764817,-73.958168,8.0,116.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
290,4929345,538454.0,1940,1,100,,40.764199,-73.955695,8.0,116.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
291,4938305,,1947,2,100,82.7,,,,,4.4272389774954295,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
292,4951014,,1947,1,100,46.6,,,,,3.8628327612373745,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
300,5877201,109000.0,1906,1,100,,40.7492,-73.9819,6.0,82.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
301,5877204,76900.0,1906,1,100,,40.749511,-73.981673,6.0,82.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
308,4985858,,1887,19,100,89.5,,,,,4.505349850705881,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
328,4991661,,1990,2,65,62.3,,,,,4.147885329150131,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
329,2792918,,1991,1,60,114.8,,,,,4.751864565138895,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
330,2793598,,1991,1,65,1.4,,,,,0.8754687373538999,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
331,4994297,,1968,2,90,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
340,5032176,,2006,3,100,98.6,,,,,4.601162164590552,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
342,5032172,,2006,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
347,5042666,,1996,2,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
348,5042671,176400.0,1996,1,100,258.9,40.586217,-74.200825,2.0,29102.0,5.560296941647445,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
349,5042679,106500.0,2008,1,100,123.0,40.586217,-74.200825,2.0,29102.0,4.820281565605037,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
351,5049378,127029.0,1988,1,100,131.5,40.685322,-73.971281,2.0,179.0,4.886582645426277,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
352,5049379,127029.0,1988,1,100,7.8,40.685322,-73.971281,2.0,179.0,2.174751721484161,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
353,5049407,127029.0,1988,1,100,85.3,40.685662,-73.970358,2.0,179.0,4.457829598089382,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
354,5049408,127029.0,1988,1,100,252.7,40.685662,-73.970358,2.0,179.0,5.536152466605236,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
355,5049410,127029.0,1988,1,100,30.4,40.685662,-73.970358,2.0,179.0,3.4468078929142076,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
356,5049411,127029.0,1988,1,100,7.8,40.685662,-73.970358,2.0,179.0,2.174751721484161,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
